,word,type,cefr,phon_br,phon_n_am,translation,definition,example
0,a,indefinite article,a1,/?/,/?/,一个（冠词，用于单数可数名词前）,used before countable or singular nouns referring to people or things that have not already been mentioned,a man/horse/unit
1,abandon,verb,b2,/??b?nd?n/,/??b?nd?n/,抛弃，遗弃（指不顾责任地离开且不打算回来）,"to leave somebody, especially somebody you are responsible for, with no intention of returning","abandon somebody, The baby had been abandoned by its mother."
2,ability,noun,a2,/??b?l?ti/,/??b?l?ti/,能力（指某人或某物能够 do 某事的事实）,the fact that somebody/something is able to do something,People with the disease may lose their ability to communicate.
3,able,adjective,a2,/?e?bl/,/?e?bl/,能够的（指具备必要的技能、智力或机会做某事）,"to have the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.
4,abolish,verb,c1,/??b?l??/,/??bɑ?l??/,废除（指正式终止法律、制度或机构）,"to officially end a law, a system or an institution",This tax should be abolished.
5,abortion,noun,c1,/??b???n/,/??b??r?n/,人工流产（指在早期阶段蓄意终止妊娠）,the deliberate ending of a pregnancy at an early stage,to support/oppose abortion
6,about,adverb,a1,/??ba?t/,/??ba?t/,大约（指数量、时间等略多或略少）,a little more or less than; a little before or after,It costs about $10.
7,about,preposition,a1,/??ba?t/,/??ba?t/,关于（指涉及某人或某事的主题或联系）,on the subject of somebody/something; in connection with somebody/something,a book about flowers
8,above,adverb,a1,/??b?v/,/??b?v/,在上面（指处于较高的位置）,at or to a higher place,Put it on the shelf above.
9,above,preposition,a1,/??b?v/,/??b?v/,在...上方（指位置高于某人或某物）,at or to a higher place or position than something/somebody,The water came above our knees.
10,abroad,adverb,a2,/??br??d/,/??br??d/,在国外（指在外国或去外国）,in or to a foreign country,to go/travel/live/study abroad 
11,absence,noun,c1,/??bs?ns/,/??bs?ns/,缺席（指不在预定或期望出现的场所的事实或期间）,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,"in somebody's absence, The decision was made in my absence (= while I was not there)."
12,absent,adjective,c1,/??bs?nt/,/??bs?nt/,缺席的（指因生病等原因不在场）,"not in a place because of illness, etc.",He was absent from work for two weeks.
13,absolute,adjective,b2,/??bs?lu?t/,/??bs?lu?t/,完全的，绝对的（指总体的、彻底的）,total and complete,I've joined a class for absolute beginners.
14,absolutely,adverb,b1,/??bs?lu?tli/,/??bs?lu?tli/,绝对地，完全地（用于强调某事完全正确）,used to emphasize that something is completely true,You're absolutely right.
15,absorb,verb,b2,/?b?z??b/,/?b?z??rb/,吸收（指从表面或周围空间吸入液体、气体或其他物质）,"to take in a liquid, gas or other substance from the surface or space around","absorb something, Plants absorb carbon dioxide from the air."
16,abstract,adjective,b2,/??bstr?kt/,/??bstr?kt/,抽象的（基于一般思想，而非具体的现实人、物或情境）,"based on general ideas and not on any particular real person, thing or situation",abstract knowledge/principles
17,absurd,adjective,c1,/?b?s??d/,/?b?s??rd/,荒唐的（指极端愚蠢，不合逻辑或常理）,extremely silly; not logical and sensible,That uniform makes the guards look absurd.
18,abundance,noun,c1,/??b?nd?ns/,/??b?nd?ns/,丰富（指超过足够的大量）,a large quantity that is more than enough,The brochure promised beautiful walks with an abundance of wildlife.
19,abuse,noun,c1,/??bju?s/,/??bju?s/,滥用，虐待（指以错误或有害的方式使用某物）,the use of something in a way that is wrong or harmful,alcohol/drug abuse
20,abuse,verb,c1,/??bju?z/,/??bju?z/,滥用，虐待（指错误使用某物，或过量使用损害健康）,"to make bad use of something, or to use so much of something that it harms your health",to abuse alcohol/drugs
21,academic,adjective,b1,/??k??dem?k/,/??k??dem?k/,学术的（与教育，特别是学校和大学的学习有关）,"connected with education, especially studying in schools and universities",high/low academic standards
22,academic,noun,b2,/??k??dem?k/,/??k??dem?k/,学者（在大学或学院从事教学或研究的人）,a person who teaches and/or does research at a university or college,a leading/distinguished/prominent academic
23,academy,noun,c1,/??k?d?mi/,/??k?d?mi/,学院，研究院（专门培训的学校或学院）,a school or college for special training,She trained at the Royal Academy of Music.
24,accelerate,verb,c1,/?k?sel?re?t/,/?k?sel?re?t/,加速（指发生得更快，或使某事发生得更快）,to happen faster or earlier; to make something happen faster or earlier,Inflation continues to accelerate.
25,accent,noun,b2,/??ksent/,/??ksent/,口音（反映国家、地区或社会地位的发音方式）,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",a northern/Dublin/Scottish accent
26,accept,verb,a2,/?k?sept/,/?k?sept/,接受（指自愿收下提供的物品，或同意提议、邀请等）,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",He asked me to marry him and I accepted.
27,acceptable,adjective,b2,/?k?sept?bl/,/?k?sept?bl/,可接受的（被社会大多数人认可或赞同的）,agreed or approved of by most people in a society,Children must learn socially acceptable behaviour.
28,acceptance,noun,c1,/?k?sept?ns/,/?k?sept?ns/,接受（指接受礼物、邀请、提议等的行为）,"the act of accepting a gift, an invitation, an offer, etc.",Please confirm your acceptance of this offer in writing.
29,access,noun,b1,/??kses/,/??kses/,进入权，使用权（指使用某物或见到某人/某事的机会或权利）,the opportunity or right to use something or to see somebody/something,High-speed internet access has become a necessity.
30,access,verb,b1,/??kses/,/??kses/,访问，使用（指打开电脑文件或使用电脑系统）,to open a computer file or use a computer system,Most people use their phones to access the internet.
31,accessible,adjective,c1,/?k?ses?bl/,/?k?ses?bl/,可到达的，易接近的（指可以到达、进入、使用或看到的）,"that can be reached, entered, used, seen, etc.",The remote desert area is accessible only by helicopter.
32,accident,noun,a2,/??ks?d?nt/,/??ks?d?nt/,事故（指意外发生并造成伤害或损坏的不愉快事件）,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",a car/road/traffic accident
33,accidentally,adverb,b2,/??ks??dent?li/,/??ks??dent?li/,意外地（偶然地，并非计划好的方式）,by chance; in a way that was not planned,"As I turned around, I accidentally hit him in the face."
34,accommodate,verb,b2,/??k?m?de?t/,/??kɑ?m?de?t/,容纳，提供住宿（指为某人提供房间或睡觉、居住的地方）,"to provide somebody with a room or place to sleep, live or sit",The hotel can accommodate up to 500 guests.
35,accommodation,noun,b1,/??k?m??de??n/,/??kɑ?m??de??n/,住宿（居住、工作或停留的地方）,"a place to live, work or stay in",rented/temporary accommodation
36,accompany,verb,b2,/??k?mp?ni/,/??k?mp?ni/,陪伴，伴随（指与某人或某物一起旅行或去某地）,to travel or go somewhere with somebody/something,"accompany somebody/something + adv./prep., His wife accompanied him on the trip."
37,accomplish,verb,b2,/??k?mpl??/,/??kɑ?mpl??/,完成，实现（指成功做完或完成某事）,to succeed in doing or completing something,The first part of the plan has been safely accomplished.
38,accomplishment,noun,c1,/??k?mpl??m?nt/,/??kɑ?mpl??m?nt/,成就（经过大量工作后实现的令人印象深刻的事物）,an impressive thing that is done or achieved after a lot of work,It was one of the President's greatest accomplishments.
39,accordance,noun,c1,/??k??dns/,/??k??rdns/,一致，按照（按照规则或某人的要求行事）,according to a rule or the way that somebody says that something should be done,in accordance with legal requirements
40,according to,preposition,a2,/??k??d?? t?/,/??k??rd?? t?/,根据（根据某人或某事的陈述或报告）,as stated or reported by somebody/something,"According to Mick, it's a great movie."
41,accordingly,adverb,c1,/??k??d??li/,/??k??rd??li/,相应地（以适合特定情况的方式行事）,in a way that is appropriate to what has been done or said in a particular situation,We have to discover his plans and act accordingly.
42,account,noun,b1,/??ka?nt/,/??ka?nt/,账户（与银行等的金钱往来安排）,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",I don't have a bank account.
43,account,verb,b2,/??ka?nt/,/??ka?nt/,认为（认为某人或某物是特定的样子）,to have the opinion that somebody/something is a particular thing,"be accounted + adj., In English law a person is accounted innocent until they are proved guilty."
44,accountability,noun,c1,/??ka?nt??b?l?ti/,/??ka?nt??b?l?ti/,问责制（对决定或行为负责，并被要求进行解释）,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,proposals for greater police accountability
45,accountable,adjective,c1,/??ka?nt?bl/,/??ka?nt?bl/,应负责任的（对决定或行为负责，并被要求进行解释）,responsible for your decisions or actions and expected to explain them when you are asked,The state spends taxpayers’ money and should be held accountable.
46,accountant,noun,b2,/??ka?nt?nt/,/??ka?nt?nt/,会计师（负责记录或检查财务账目的人）,a person whose job is to keep or check financial accounts,We talked to the company’s chief accountant.
47,accumulate,verb,c1,/??kju?mj?le?t/,/??kju?mj?le?t/,积累（在一段时间内逐渐增加或获得更多某物）,to gradually get more and more of something over a period of time,I seem to have accumulated a lot of books.
48,accumulation,noun,c1,/??kju?mj??le??n/,/??kju?mj??le??n/,积累（逐渐增加或获得更多某物的过程）,the process of gradually increasing or getting more and more of something over a period of time,the accumulation of wealth
49,accuracy,noun,b2,/??kj?r?si/,/??kj?r?si/,准确性（精确或正确的状态，或熟练无误的能力）,the state of being exact or correct; the ability to do something with skill and without making mistakes,They questioned the accuracy of the information in the file.
50,accurate,adjective,b2,/??kj?r?t/,/??kj?r?t/,准确的（在每个细节上都正确且真实）,correct and true in every detail,an accurate description/picture of something
51,accurately,adverb,b2,/??kj?r?tli/,/??kj?r?tli/,存在（存在状态）,in a way that is correct and true in every detail,The article accurately reflects public opinion.
